segment,variant,sample,customer_id,elapsed_ms,rows,sha256
1,baseline,81,2,189.44950000000244,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,82,42,160.83710000000065,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,83,999,124.35480000000098,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,84,1,156.52999999999884,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,85,2,137.27769999999873,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,86,42,114.63389999999708,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,87,999,132.34360000000015,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,88,1,167.9966999999997,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,89,2,120.27070000000094,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,90,42,106.04920000000129,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,91,999,111.48410000000149,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,92,1,127.75340000000142,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,93,2,106.64129999999932,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,94,42,170.70409999999902,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,95,999,150.03710000000137,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,96,1,201.2528999999995,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,97,2,125.45899999999892,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,98,42,106.8708000000006,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,99,999,217.02330000000075,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,100,1,166.89170000000013,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,101,2,105.81999999999971,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,102,42,107.1919999999991,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,103,999,106.43180000000211,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,104,1,170.20630000000165,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,105,2,188.8309999999983,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,106,42,88.92640000000029,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,107,999,77.67290000000139,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,108,1,105.80019999999786,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,109,2,78.65439999999944,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,110,42,89.84369999999763,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,111,999,81.13510000000315,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,112,1,106.61559999999736,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,113,2,92.76979999999821,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,114,42,89.53499999999985,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,115,999,93.9890000000014,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
1,baseline,116,1,121.79630000000179,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
1,baseline,117,2,91.9874000000018,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
1,baseline,118,42,87.54449999999997,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
1,baseline,119,999,75.20360000000073,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
2,indexed,0,1,0.33919999999852735,50,ec01fc577ae7a041b31129e8906d14fdc83fb07a4357c71bb1e59330969a1494
2,indexed,1,2,0.6579000000019732,50,1faf2af7fc402fba2dc10d5da80b6b9ce8fb78c66d85080ba647faf4ab4bd40e
2,indexed,2,42,0.5446000000010827,50,6bbf664f5956ced144b54e947a9e954fa32d14ce436be7a190425b411b2096e2
2,indexed,3,999,0.5351000000009662,50,0647660424e2ece4a533cca8ee8f553c4afb2124209047c530b10679c8c727c8
